date,location,age_group,frozen_value
2022-01-30,DE,00-04,210
2022-01-31,DE,00-04,196
2022-02-01,DE,00-04,212
2022-02-02,DE,00-04,206
2022-02-03,DE,00-04,218
2022-02-04,DE,00-04,225
2022-02-05,DE,00-04,229
2022-02-06,DE,00-04,222
2022-02-07,DE,00-04,214
2022-02-08,DE,00-04,200
2022-02-09,DE,00-04,231
2022-02-10,DE,00-04,237
2022-02-11,DE,00-04,242
2022-02-12,DE,00-04,237
2022-02-13,DE,00-04,241
2022-02-14,DE,00-04,226
2022-02-15,DE,00-04,231
2022-02-16,DE,00-04,245
2022-02-17,DE,00-04,240
2022-02-18,DE,00-04,250
2022-02-19,DE,00-04,246
2022-02-20,DE,00-04,240
2022-02-21,DE,00-04,231
2022-02-22,DE,00-04,227
2022-02-23,DE,00-04,233
2022-02-24,DE,00-04,230
2022-02-25,DE,00-04,243
2022-02-26,DE,00-04,258
2022-02-27,DE,00-04,255
2022-02-28,DE,00-04,241
2022-03-01,DE,00-04,235
2022-03-02,DE,00-04,241
2022-03-03,DE,00-04,264
2022-03-04,DE,00-04,262
2022-03-05,DE,00-04,265
2022-03-06,DE,00-04,251
2022-03-07,DE,00-04,241
2022-03-08,DE,00-04,232
2022-03-09,DE,00-04,248
2022-03-10,DE,00-04,233
2022-03-11,DE,00-04,259
2022-03-12,DE,00-04,275
2022-03-13,DE,00-04,285
2022-03-14,DE,00-04,261
2022-03-15,DE,00-04,285
2022-03-16,DE,00-04,294
2022-03-17,DE,00-04,295
2022-03-18,DE,00-04,312
2022-03-19,DE,00-04,322
2022-03-20,DE,00-04,292
2022-03-21,DE,00-04,279
2022-03-22,DE,00-04,253
2022-03-23,DE,00-04,252
2022-03-24,DE,00-04,262
2022-03-25,DE,00-04,273
2022-03-26,DE,00-04,280
2022-03-27,DE,00-04,256
2022-03-28,DE,00-04,244
2022-03-29,DE,00-04,248
2022-03-30,DE,00-04,248
2022-03-31,DE,00-04,251
2022-04-01,DE,00-04,248
2022-04-02,DE,00-04,241
2022-04-03,DE,00-04,236
2022-04-04,DE,00-04,226
2022-04-05,DE,00-04,222
2022-04-06,DE,00-04,218
2022-04-07,DE,00-04,220
2022-04-08,DE,00-04,204
2022-04-09,DE,00-04,225
2022-04-10,DE,00-04,203
2022-04-11,DE,00-04,193
2022-04-12,DE,00-04,216
2022-04-13,DE,00-04,214
2022-04-14,DE,00-04,222
2022-04-15,DE,00-04,225
2022-04-16,DE,00-04,192
2022-04-17,DE,00-04,177
2022-04-18,DE,00-04,173
2022-04-19,DE,00-04,118
2022-04-20,DE,00-04,127
